LINE_ID,PRIVATE_LA,PGMN_WELL,CONS_AUTHO,COUNTY,TOWNSHIP,LOT,CONCESSION,AQUIFER_TY,AQUIFER_LI,STRATIGRAP,STRATI_DES,NO_RECORD,WELL_DEPTH,WEL_PIEZOM,SCREEN_HOL,lat,lon,ELVA_GROUN,SITE_ID
51,PRIVATE LAND,W0000083-1,RIDEAU VALLEY C.A.,LANARK COUNTY,BATHURST,LOT 18,CON 3,BEDROCK,QUARTZ SANDSTONE,3511815,N/A,N/A,45.43,15.88,OPEN HOLE: 6.71 - 45.43 M,0,0,146.11,83
52,PRIVATE LAND,W0000084-1,RIDEAU VALLEY C.A.,OTTAWA-CARLETON REGIONAL MUNICIPALITY,GOULBOURN,LOT 14,CON 3,BEDROCK,SILTY DOLOSTONE,1525896,N/A,N/A,7.84,15.88,OPEN HOLE: 4.28-7.84 M,0,0,108.01,84
53,NOT PRIVATE LAND,W0000087-1,RIDEAU VALLEY C.A.,OTTAWA-CARLETON REGIONAL MUNICIPALITY,RIDEAU,LOT 37,CON 2,BEDROCK,BLACK SLATE,1515835,N/A,N/A,22.9,15.88,OPEN HOLE: 18.6 - 22.9 M,45.09798,-75.62451,86.84,87
54,NOT PRIVATE LAND,W0000088-1,RIDEAU VALLEY C.A.,LEEDS AND GRENVILLE UNITED COUNTIES,BASTARD AND SOUTH BURGESS,LOT 18,CON 2,BEDROCK,SANDSTONE,3600203,N/A,N/A,7.62,15.88,OPEN HOLE: 3.35 - 7.62M,44.70138,-76.184116,123.88,88
55,NOT PRIVATE LAND,W0000115-3,KAWARTHA REGION C.A.,VICTORIA COUNTY,MARIPOSA,LOT 16,CON 14,BEDROCK,LIMESTONE,N/A,N/A,6417173 /6402187/6414779/6402186,15,5.08,N/A-  TO BE DETERMINED,44.39775,-78.90858,279.05,115
56,NOT PRIVATE LAND,W0000297-1,HAMILTON REGION C.A.,HAMILTON CITY,BEVERLY,LOT 28,CON 8,OVERBURDEN,"SANDY SILT, CLAYEY SILT",6813991,N/A,N/A,6,5.08,SCREEN: 4.6M-6.0M,43.36596,-80.108205,268.072,297
57,NOT PRIVATE LAND,W0000361-2,NIAGARA PENINSULA C.A.,NIAGARA REGIONAL MUNICIPALITY,PELHAM,LOT 10,CON 6,OVERBURDEN,SILTY SAND,N/A,SILTY SAND - 15.4M,N/A,15,5.08,SCREEN: 13.7M-15.0M,43.05609,-79.330615,216.25,361
58,PRIVATE LAND,W0000091-1,RAISIN REGION C.A.,"STORMONT, DUNDAS AND GLENGARRY UNITED COUNTIES",CHARLOTTENBURGH,LOT 10,CON 1,BEDROCK,LIMESTONE,2302064,N/A,N/A,35,15.88,OPEN HOLE: 18.9 - 35 M,0,0,54.13,91
59,NOT PRIVATE LAND,W0000096-1,SOUTH NATION CONSERVATION,LEEDS AND GRENVILLE UNITED COUNTIES,AUGUSTA,LOT 14,CON 4,BEDROCK,LIMESTONE /SANDSTONE,2403282,N/A,N/A,38.1,15.88,OPEN HOLE: 3.3 - 38.1M,44.7329,-75.597431,100.05,96
60,NOT PRIVATE LAND,W0000127-1,QUINTE CONSERVATION,HASTINGS COUNTY,HUNGERFORD,LOT 4,CON 2,BEDROCK,LIMESTONE,2900519,N/A,N/A,18.3,15.88,OPEN HOLE: 5.2-18.05M,44.37321,-77.310447,130.64,127
61,NOT PRIVATE LAND,W0000129-1,QUINTE CONSERVATION,HASTINGS COUNTY,THURLOW,LOT 23,CON 6,BEDROCK,INTERBEDDED LIMESTONE AND SHALE,N/A,N/A,2911715/2904367,58.59,16.21,OPEN HOLE: 52.9-58.59M,44.27725,-77.339801,118.58,129
62,NOT PRIVATE LAND,W0000373-1,KETTLE CREEK C.A.,ELGIN COUNTY,YARMOUTH,LOT 5,RANGE 1 EDGWARE ROAD NORTH SIDE,OVERBURDEN,SAND,2003037,N/A,N/A,50.29,20.96,SCREEN: 48.2M-50.0M,42.80419,-81.176551,231.99,373
63,NOT PRIVATE LAND,W0000196-1,OTONABEE REGION C.A.,PETERBOROUGH COUNTY,DUMMER,LOT 17,CON 2,BEDROCK,GREY LIMESTONE,5101076,N/A,N/A,15.3,15.88,OPEN HOLE: 6.7 - 15.3M,44.45763,-78.13002,233.83,196
64,NOT PRIVATE LAND,W0000078-1,GREY SAUBLE C.A.,BRUCE COUNTY,AMABEL,LOT 7,CON A,BEDROCK,DOLOSTONE,N/A,OVERBURDEN - 10.67M; GUELPH DOLOSTONE - 36.88M; ERAMOSA DOLOSTONE - 52.86M,N/A,52.73,10.8,OPEN HOLE: 17.25M-52.86 M,44.54858,-81.159193,223.71,78
65,NOT PRIVATE LAND,W0000157-2,RIDEAU VALLEY C.A.,OTTAWA-CARLETON REGIONAL MUNICIPALITY,RIDEAU,LOT 3,CON 1,BEDROCK,LIMESTONE WITH SHALE,1532865,N/A,N/A,8.74,5.08,OPEN HOLE: 6.6-9.45M,45.05505,-75.681498,88.6,157
66,PRIVATE LAND,W0000228-1,CROWE VALLEY C.A.,HASTINGS COUNTY,FARADAY,LOT 23,CON 8,BEDROCK,WHITE GRANITE,N/A,N/A,2912632,32,15.88,OPEN HOLE : 6.7 - 32 TO BE CONFIRMED,0,0,361.39,228
67,NOT PRIVATE LAND,W0000305-1,SAUGEEN VALLEY C.A.,GREY COUNTY,OSPREY,LOT 31,CON 2,OVERBURDEN,"SAND, GRAVEL",2515621,N/A,N/A,8.23,5.08,SCREEN: 3.96M-6.1M,44.26893,-80.361806,531.45,305
68,NOT PRIVATE LAND,W0000386-1,KAWARTHA REGION C.A.,DURHAM REGIONAL MUNICIPALITY,SCUGOG,LOT 6,CON 3,OVERBURDEN,FINE SAND,1916806,N/A,N/A,31.4,7.62,SCREEN: 9.45 - 12.35M,44.05455,-79.02587,311.11,386
69,NOT PRIVATE LAND,W0000387-1,KAWARTHA REGION C.A.,DURHAM REGIONAL MUNICIPALITY,SCUGOG,LOT 1,CON 2,OVERBURDEN,GREY SAND AND CLAY,1916805,N/A,N/A,35.4,7.62,SCREEN: 31.1 - 34.2M,44.05417,-78.87148,308.41,387
70,NOT PRIVATE LAND,W0000017-2,TORONTO AND REGION C.A.,TORONTO CITY,YORK,LOT 16,CON 1,OVERBURDEN,"SAND, GRAVEL",6905098,N/A,N/A,45.72,39.37,SCREEN: 39.9M-44.5M,43.75733,-79.430708,152.87,17
71,PRIVATE LAND,W0000018-1,CREDIT VALLEY CONSERVATION,DUFFERIN COUNTY,GARAFRAXA,LOT 1,CON B,BEDROCK,LIMESTONE,1704087,N/A,N/A,36.58,20,OPEN HOLE: 23.16M-36.58M,0,0,450.94,18
72,NOT PRIVATE LAND,W0000007-2,CONSERVATION HALTON,HALTON REGIONAL MUNICIPALITY,ESQUESING,LOT 11,CON 3,OVERBURDEN,SAND,2803355,N/A,N/A,14.33,2.54,SCREEN: 13.41M-14.33M,43.56572,-79.942244,245.537,7
73,NOT PRIVATE LAND,W0000008-1,CONSERVATION HALTON,HAMILTON CITY,EAST FLAMBOROUGH,LOT 2,CON 14,BEDROCK,LIMESTONE,6813466,N/A,N/A,6.61,14.4,OPEN HOLE:,43.46354,-80.037001,299.985,8
74,PRIVATE LAND,W0000227-1,CROWE VALLEY C.A.,HASTINGS COUNTY,WOLLASTON,LOT 19,CON 1,BEDROCK,SANDSTONE /LIMESTONE -MARBLE,N/A,N/A,2918232,100,15.88,OPEN HOLE: 31.5 - 100 TO BE CONFIRMED,0,0,331.85,227
75,PRIVATE LAND,W0000219-1,UPPER THAMES RIVER C.A.,PERTH COUNTY,LOGAN,LOT 2,CON 7,BEDROCK,LIMESTONE,5005363,N/A,N/A,33.53,15.88,OPEN HOLE: 22.9M-32.0M,0,0,357.72,219
76,NOT PRIVATE LAND,W0000401-1,MISSISSIPPI VALLEY C.A.,OTTAWA-CARLETON REGIONAL MUNICIPALITY,WEST CARLETON,LOT 17,CON 5,OVERBURDEN,GREY SAND,1534288,N/A,N/A,13.89,15.88,SCREEN: 12.8 - 14.0M,45.49896,-76.0921,65.67,401
77,NOT PRIVATE LAND,W0000278-1,CATARAQUI REGION C.A.,LEEDS AND GRENVILLE UNITED COUNTIES,BASTARD AND SOUTH BURGESS,LOT 10,CON 5,BEDROCK,"BLACK, GREY AND BROWN SANDSTONE",3615797,N/A,N/A,28.31,15.88,OPEN HOLE: 6.1 - 28.31M,44.69366,-76.099134,147.89,278
78,NOT PRIVATE LAND,W0000011-1,TORONTO AND REGION C.A.,DURHAM REGIONAL MUNICIPALITY,PICKERING,LOT 12,CON 7,OVERBURDEN,SAND,4605546,N/A,N/A,47.85,4.78,SCREEN: 46.94M-47.85M,43.96002,-79.083897,179.71,11
79,PRIVATE LAND,W0000049-1,CENTRAL LAKE ONTARIO C.A.,DURHAM REGIONAL MUNICIPALITY,WHITBY,LOT 13,CON 9,OVERBURDEN,SAND,1909981,N/A,N/A,15,15.24,SCREEN: 13.1 - 15.5 M,0,0,256.48,49
