day	month	year	AccumulationFinal
1	1	2013	0.0
1	1	2014	0.0
1	1	2016	0.0
1	2	2013	1.2000000000000002
1	2	2014	0.2
1	2	2016	0.6000000000000001
1	3	2013	0.0
1	3	2014	0.0
1	3	2016	165.6
1	4	2014	0.4
1	4	2015	0.0
1	4	2016	0.0
1	5	2013	0.0
1	5	2014	2.0
1	5	2015	0.0
1	5	2016	3.600000000000001
1	6	2010	3.0000000000000004
1	6	2013	0.2
1	6	2014	0.0
1	6	2015	0.0
1	7	2010	0.0
1	7	2013	0.0
1	7	2014	0.8
1	7	2015	0.4
1	8	2013	19.799999999999997
1	8	2015	0.6000000000000001
1	9	2013	2.0
1	9	2015	0.0
1	10	2012	0.0
1	10	2013	0.0
1	10	2015	0.0
1	11	2012	0.8
1	11	2013	9.400000000000002
1	11	2015	7.600000000000001
1	12	2012	0.6000000000000001
1	12	2013	0.2
1	12	2015	2.2
2	1	2013	0.0
2	1	2014	19.8
2	1	2016	1.0
2	2	2013	397.40000000000003
2	2	2014	0.0
2	2	2016	27.199999999999992
2	3	2013	0.0
2	3	2014	0.0
2	3	2016	0.0
2	4	2014	0.6
2	4	2015	68.00000000000001
2	4	2016	0.4
2	5	2013	0.0
2	5	2014	3.4000000000000004
2	5	2015	0.0
2	5	2016	0.6000000000000001
2	6	2010	8.8
2	6	2013	14.4
2	6	2014	8.4
2	6	2015	0.0
2	7	2010	0.0
2	7	2013	0.0
2	7	2014	0.6000000000000001
2	7	2015	0.0
2	8	2013	7.3999999999999995
2	8	2015	16.999999999999996
2	9	2013	0.2
2	9	2015	2.8000000000000003
2	10	2012	0.0
2	10	2013	0.0
2	10	2015	1.0
2	11	2012	0.0
2	11	2013	1.9999999999999998
2	11	2015	0.0
2	12	2012	16.39999999999999
2	12	2013	0.0
2	12	2015	0.0
3	1	2013	92.00000000000001
3	1	2014	0.0
3	1	2016	2.2
3	2	2013	0.4
3	2	2014	0.0
3	2	2016	108.4
3	3	2013	0.0
3	3	2014	0.0
3	3	2016	0.2
3	4	2014	302.2
3	4	2015	7.600000000000002
3	4	2016	0.2
3	5	2013	0.0
3	5	2014	2.4
3	5	2015	0.0
3	5	2016	0.0
3	6	2010	15.200000000000001
3	6	2013	0.0
3	6	2014	13.799999999999997
3	6	2015	0.0
3	7	2010	0.0
3	7	2013	15.399999999999999
3	7	2014	2.2
3	7	2015	0.0
3	8	2013	0.0
3	8	2015	2.8000000000000007
3	9	2013	0.2
3	9	2015	9.999999999999998
3	10	2012	0.4
3	10	2013	4.0
3	10	2015	60.20000000000002
3	11	2012	0.0
3	11	2013	0.0
3	11	2015	0.0
3	12	2012	0.0
3	12	2013	0.0
3	12	2015	0.6000000000000001
4	1	2013	6347.2
4	1	2014	1018.3999999999999
4	1	2016	0.0
4	2	2013	0.0
4	2	2014	0.0
4	2	2016	0.2
4	3	2013	0.2
4	3	2014	0.0
4	3	2016	0.0
4	4	2014	1086.6000000000004
4	4	2015	0.8
4	4	2016	0.0
4	5	2013	0.0
4	5	2014	0.0
4	5	2015	0.4
4	5	2016	0.0
4	6	2010	3.6000000000000005
4	6	2013	0.0
4	6	2014	0.0
4	6	2015	0.0
4	7	2010	0.0
4	7	2013	1.7999999999999998
4	7	2014	0.0
4	7	2015	0.0
4	8	2013	0.0
4	8	2015	1.0
4	9	2013	0.0
4	9	2015	0.0
4	10	2012	0.6000000000000001
4	10	2013	12.799999999999997
4	10	2015	0.2
4	11	2012	0.0
4	11	2013	0.0
4	11	2015	0.0
4	12	2012	7.000000000000002
4	12	2013	3.0
4	12	2015	9.8
5	1	2013	30.4
5	1	2014	0.6000000000000001
5	1	2016	0.0
5	2	2013	0.0
5	2	2014	38.800000000000004
5	2	2016	0.0
5	3	2013	1922.2
5	3	2014	0.0
5	3	2016	0.4
5	4	2014	1219.4
5	4	2015	3.600000000000001
5	4	2016	3.0000000000000004
5	5	2013	0.0
5	5	2014	0.0
5	5	2015	0.0
5	5	2016	0.0
5	6	2010	7.200000000000001
5	6	2013	0.0
5	6	2014	0.0
5	6	2015	2.0
5	7	2010	16.4
5	7	2013	15.2
5	7	2014	0.0
5	7	2015	0.0
5	8	2013	0.0
5	8	2015	0.0
5	9	2013	0.0
5	9	2015	0.0
5	10	2012	5.0
5	10	2013	0.2
5	10	2015	1.4000000000000001
5	11	2012	0.0
5	11	2013	0.0
5	11	2015	0.0
5	12	2012	0.0
5	12	2013	0.0
5	12	2015	0.0
6	1	2013	0.8
6	1	2014	1145.6000000000001
6	1	2016	0.0
6	2	2013	0.0
6	2	2014	55.0
6	2	2016	0.0
6	3	2013	126.6
6	3	2014	378.4
6	3	2016	0.0
6	4	2014	0.0
6	4	2015	0.4
6	4	2016	9.0
6	5	2013	0.0
6	5	2014	0.0
6	5	2015	0.0
6	5	2016	0.0
6	6	2010	25.999999999999996
6	6	2013	4.400000000000001
6	6	2014	0.0
6	6	2015	0.0
6	7	2010	0.0
6	7	2013	0.0
6	7	2014	335.99999999999994
6	7	2015	0.0
6	8	2013	0.0
6	8	2015	0.0
6	9	2013	0.0
6	9	2015	0.0
6	10	2012	1.4
6	10	2013	10.599999999999998
6	10	2015	0.4
6	11	2012	0.0
6	11	2013	14.799999999999997
6	11	2015	23.0
6	12	2012	0.0
6	12	2013	0.0
6	12	2015	0.0
7	1	2013	0.2
7	1	2014	5236.599999999999
7	1	2016	0.0
7	2	2013	461.20000000000005
7	2	2014	190.20000000000002
7	2	2016	0.0
7	3	2013	2.2
7	3	2014	0.0
7	3	2016	14.4
7	4	2014	11.199999999999998
7	4	2015	57.199999999999996
7	4	2016	8.200000000000001
7	5	2013	0.0
7	5	2014	0.0
7	5	2015	0.0
7	5	2016	0.0
7	6	2010	0.0
7	6	2013	0.0
7	6	2014	0.0
7	6	2015	1.5999999999999999
7	7	2010	0.0
7	7	2013	12.799999999999999
7	7	2014	201.60000000000002
7	7	2015	58.8
7	8	2013	5.2
7	8	2015	0.0
7	9	2013	16.599999999999998
7	9	2015	0.0
7	10	2012	0.2
7	10	2013	17.799999999999994
7	10	2015	0.0
7	11	2012	0.0
7	11	2013	0.4
7	11	2015	0.8
7	12	2012	0.2
7	12	2013	0.0
7	12	2015	0.0
8	1	2013	24.000000000000004
8	1	2014	28.0
8	1	2016	2.4
8	2	2013	78.4
8	2	2014	0.0
8	2	2016	0.2
8	3	2013	0.2
8	3	2014	0.0
8	3	2016	0.0
8	4	2014	5.600000000000001
8	4	2015	37.200000000000024
8	4	2016	0.0
8	5	2013	0.4
