PGMN_WELL	SampleDate	SampleNumber	LabName	Ionbalance	Comments
W0000001-1	2003-10-23	C110541-0001	MOE	8.2 	Metals Suspect - acid in bottle before sample
W0000001-1	2005-10-12	C130994-0001	MOE	1.8 	
W0000001-1	2007-07-10	556404	ACCUTEST LABORATORIES LTD	1 [ 0.01  ] 	
W0000001-1	2008-10-20	C163881-0007	MOE	22 	Ionic balance > 5%, use with caution; Calcium suspect
W0000001-1	2009-10-14	C171983-0001	MOE	0.42 	
W0000001-1	2010-12-08	C182220-0001	MOE	2.1 	
W0000001-1	2011-10-11	C189281-0001	MOE	1.9	
W0000001-1	2012-09-24	C197606-0001	MOE	20	Ionic balance > 5%, use with caution; Calcium, Sodium, Alkalinity suspect
W0000001-1	2013-09-30	C206682-0001	MOE	6.5	
W0000001-1	2014-09-17	C214705-0001	MOE	0.42	
W0000001-1	2015-01-28	C217611-0001	MOE	4.1	
W0000001-1	2015-10-01	C223890-0001	MOE	1.9	
W0000002-1	2002-08-15	C97053-0001	MOE	0.54	Incomplete General Chemistry - Alkalinity/Nutrients missing
W0000002-1	2006-09-26	O53895	Maxxam Analytics Inc 		
W0000002-1	2007-10-24	V46726	Maxxam Analytics Inc 	1.76	
W0000002-1	2008-10-21	C163905-0001	MOE	23.0	Ionic balance > 5%, use with caution; Calcium suspect
W0000002-1	2009-10-29	C172482-0001	MOE	2.7	
W0000002-1	2010-11-15	C181713-0003	MOE	5.5	
W0000002-1	2011-11-01	C190004-0001	MOE	0.017	
W0000002-1	2012-11-06	C198825-0002	MOE	13.0	Ionic balance > 5%, use with caution;
W0000002-1	2013-10-15	C207004-0001	MOE	7.0	
W0000002-1	2014-11-05	C216233-0002	MOE	17.0	Ionic balance > 5%, use with caution;
W0000003-1	2003-10-22	C110540-0001	MOE	4.8 	Metals Suspect - acid in bottle before sample
W0000003-1	2007-07-11	556561	ACCUTEST LABORATORIES LTD	1.02 [ 0.01  ] 	 
W0000003-1	2009-10-10	C171851-0006	MOE	4 	
W0000003-1	2011-10-12	C189281-0002	MOE	0.43	
W0000003-1	2012-09-27	C197606-0002	MOE	23	Ionic balance > 10%, use with caution; Calcium suspect
W0000003-1	2013-10-01	C206682-0002	MOE	2	
W0000003-1	2014-09-15	C214649-0001	MOE	1.8	
W0000003-1	2015-09-21	C223519-0001	MOE	7.7	
W0000004-1	2003-10-27	C110742-0001	MOE	4 	Metals Suspect - acid in bottle before sample
W0000004-1	2005-09-28	C130510-0001	MOE	7.6 	
W0000004-1	2007-07-10	556402	ACCUTEST LABORATORIES LTD	0.98 [ 0.01  ] 	 
W0000004-1	2008-10-21	C163881-0008	MOE	7.1 	
W0000004-1	2009-10-10	C171851-0007	MOE	13 	Ionic balance > 5%, use with caution;
W0000004-1	2010-11-09	C181550-0001	MOE	9.1 	Use with caution - Chloride inconsistent with other results
W0000004-1	2011-10-12	C189281-0003	MOE	0.84	
W0000004-1	2012-09-25	C197606-0004	MOE	3	
W0000004-1	2013-10-03	C206686-0001	MOE	5.3	
W0000004-1	2014-09-25	C214906-0001	MOE	1	
W0000004-1	2015-10-01	C223890-0003	MOE	0.0079	
W0000005-1	2003-11-04	C111009-0001	MOE	33 	Ionic balance > 10%, use with caution; Calcium suspect; Metals Suspect - acid in bottle before sample; 
W0000005-1	2005-09-28	C130511-0001	MOE	4.1 	
W0000005-1	2006-03-24	C135148-0001	MOE		
W0000005-1	2007-07-11	556563	ACCUTEST LABORATORIES LTD	0.97 [ 0.01  ] 	 
W0000005-1	2008-10-20	C163881-0003	MOE	4.9 	
W0000005-1	2009-10-09	C171851-0003	MOE	7.3 	
W0000005-1	2010-11-10	C181550-0003	MOE	9.7 	
W0000005-1	2011-10-11	C189281-0004	MOE	66	Ionic balance > 20%, use with caution; Sulphate suspect
W0000005-1	2012-09-24	C197606-0005	MOE	15	Ionic balance > 5%, use with caution; Calcium suspect
W0000005-1	2013-10-01	C206682-0003	MOE	0.73	
W0000005-1	2014-09-17	C214705-0002	MOE	0.96	
W0000005-1	2015-09-22	C223519-0002	MOE	4.6	
W0000006-1	2003-04-15	C103949-0001	MOE	5.8	
W0000006-1	2004-09-28	40065	ENTECH, A Division of Agri-Service Lab Inc.		Incomplete General Chemistry - Chloride missing; Sulphate missing
W0000006-1	2004-11-30	43696	ENTECH, A Division of Agri-Service Lab Inc.		Incomplete General Chemistry - Chloride missing; Sulphate missing; Calcium, Magnesium suspect
W0000006-1	2009-10-27	C172362-0001	MOE	6.3	
W0000006-1	2010-10-08	C180589-0001	MOE	3.0	
W0000006-1	2011-12-06	C190932-0001	MOE		
W0000006-1	2012-10-25	C198441-0001	MOE	3.7	
W0000006-1	2013-11-21	C208156-0001	MOE	3.7	
W0000006-1	2014-09-25	C214915-0001	MOE	11.0	Ionic balance > 5%, use with caution; Calcium suspect
W0000006-1	2015-10-26	C224738-0001	MOE	9.7	
W0000007-2	2003-10-22	C110539-0001	MOE	3.5	Metals Suspect - acid in bottle before sample; 
W0000007-2	2005-09-27	C130423-0001	MOE	3.8	Metals Suspect - acid in bottle before sample
W0000007-2	2010-11-10	C181550-0006	MOE	7.0	Use with caution - Inconsistent with other results; Lead suspect
W0000007-2	2012-03-22	C192810-0001	MOE	1.5	
W0000007-2	2012-09-26	C197606-0006	MOE	2.7	
W0000007-2	2013-10-03	C206686-0002	MOE	4.2	
W0000007-2	2014-09-24	C214906-0002	MOE	1.7	
W0000007-2	2015-10-05	C224069-0001	MOE	1.8	
W0000008-1	2003-10-21	C110538-0001	MOE	3 	Metals Suspect - acid in bottle before sample
W0000008-1	2007-07-11	556562	ACCUTEST LABORATORIES LTD	0.95 [ 0.01  ] 	
W0000008-1	2008-10-21	C163881-0009	MOE	19 	Ionic balance > 5%, use with caution; Calcium suspect
W0000008-1	2009-10-09	C171851-0005	MOE	2 	Use with caution - Inconsistent with other results
W0000008-1	2010-11-10	C181550-0005	MOE	3.4 	
W0000008-1	2011-10-12	C189281-0005	MOE	2.8	
W0000008-1	2012-09-26	C197606-0007	MOE	11	Ionic balance > 5%, use with caution;
W0000008-1	2013-10-04	C206686-0003	MOE	2.4	
W0000008-1	2014-09-23	C214831-0001	MOE	1.1	
W0000008-1	2015-10-06	C224069-0002	MOE	1.1	
W0000009-1	2002-09-09	C97861-0001	MOE	 [ NDID  ] 	Incomplete General Chemistry - Alkalinity/Nutrients missing; Cations missing; Metals suspect;
W0000009-1	2009-10-27	C172487-0002	MOE	1.1 	
W0000009-1	2013-11-14	C207980-0004	MOE	0.37	
W0000010-1	2002-07-24	C96276-0001	MOE	6.6	Incomplete General Chemistry - Alkalinity/Nutrients missing
W0000010-1	2004-10-28	41646	ENTECH, A Division of Agri-Service Lab Inc.		Incomplete General Chemistry - Chloride missing; Sulphate missing; METALS suspect
